NCTId,final_date,start_date,field_changed,final_value,start_value
NCT05257473,2025-04-14 07:12:54.615614,2025-04-07 07:13:06.388759,Last Update Post Date,2025-04-06,2025-03-10
NCT05291091,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-04-03,2025-03-25
NCT05412394,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-02-13,2025-03-25
NCT05429372,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-03-04,2025-03-25
NCT05429372,2025-04-21 07:12:40.937900,2025-04-14 07:12:54.615614,Primary Completion Date,2025-06-30,2025-05-30
NCT05429372,2025-04-21 07:12:40.937900,2025-04-14 07:12:54.615614,Completion Date,2025-06-30,2029-01-03
NCT05429372,2025-04-21 07:12:40.937900,2025-04-14 07:12:54.615614,Last Update Post Date,2025-04-18,2025-03-04
NCT05524883,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-01-22,2025-03-25
NCT05540860,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2024-12-27,2025-03-25
NCT05558813,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-02-03,2025-03-25
NCT05670730,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-03-11,2025-03-25
NCT05683379,2025-04-14 07:12:54.615614,2025-04-07 07:13:06.388759,Primary Completion Date,2026-09-01,2024-12-01
NCT05683379,2025-04-14 07:12:54.615614,2025-04-07 07:13:06.388759,Completion Date,2026-09-01,2024-12-01
NCT05683379,2025-04-14 07:12:54.615614,2025-04-07 07:13:06.388759,Last Update Post Date,2025-04-06,2024-07-18
NCT05689164,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-02-07,2025-03-25
NCT05689164,2025-04-21 07:12:40.937900,2025-04-14 07:12:54.615614,Enrollment Count,6.0,5.0
NCT05689164,2025-04-21 07:12:40.937900,2025-04-14 07:12:54.615614,Primary Completion Date,2025-08-29,2039-05-15
NCT05689164,2025-04-21 07:12:40.937900,2025-04-14 07:12:54.615614,Completion Date,2025-08-29,2039-05-15
NCT05689164,2025-04-21 07:12:40.937900,2025-04-14 07:12:54.615614,Last Update Post Date,2025-04-18,2025-02-07
NCT05693142,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-03-12,2025-03-25
NCT05849688,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Overall Status,Unknown,Not Yet Recruiting
NCT05881408,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-02-17,2025-03-25
NCT05881408,2025-04-21 07:12:40.937900,2025-04-14 07:12:54.615614,Last Update Post Date,2025-04-15,2025-02-17
NCT05938023,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-02-03,2025-03-25
NCT05967351,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-01-17,2025-03-25
NCT05982119,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-02-12,2025-03-25
NCT06053814,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2024-12-17,2025-03-25
NCT06054971,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-03-21,2025-03-25
NCT06066580,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-03-11,2025-03-25
NCT06079736,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-03-04,2025-03-25
NCT06128564,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-03-17,2025-03-25
NCT06128564,2025-04-21 07:12:40.937900,2025-04-14 07:12:54.615614,Last Update Post Date,2025-04-13,2025-03-17
NCT06138639,2025-04-21 07:12:40.937900,2025-04-14 07:12:54.615614,Last Update Post Date,2025-04-15,2025-03-26
NCT06224660,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-02-27,2025-03-25
NCT06241950,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-03-03,2025-03-25
NCT06244082,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-02-07,2025-03-25
NCT06363526,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Brief Title,Effectiveness of 5-week Digital Respiratory Practice in Children With Duchenne and Becker Muscular Dystrophies.,Effectiveness of 5-week Digital Respiratory Practice in Children With Duchenne Muscular Dystrophy and Becker Muscular Dystrophy.
NCT06363526,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Secondary Outcome Measure,"Perform an anthropometric study of the patient's characteristics, taking into account weight; and also a general physical examination., Perform an anthropometric study of the patient's characteristics, taking into account age., Perform an anthropometric study of the patient's characteristics, taking into account height., Perform an anthropometric study of the patient's characteristics, taking into account sex., Examine changes in forced expiratory pressure, Analyze changes in maximum inspiratory pressure (MIP) and maximum expiratory pressure (MEP)., Check if there are changes in the sniff nasal inspiratory pressure (SNIP), Evaluate the fatigue in patients using an EPInfant test., Evaluate the quality of life of patients using a scale called ""Kindscreen-52""., North Star Ambulatory Assessment o NSAA","Perform an anthropometric study of the patient's characteristics, taking into account weight; and also a general physical examination., Perform an anthropometric study of the patient's characteristics, taking into account age., Perform an anthropometric study of the patient's characteristics, taking into account height., Perform an anthropometric study of the patient's characteristics, taking into account sex., Examine changes in forced expiratory pressure, Analyze changes in maximum inspiratory pressure (MIP) and maximum expiratory pressure (MEP)., Check if there are changes in the sniff nasal inspiratory pressure (SNIP), Evaluate the fatigue in patients using an EPInfant test., Evaluate the quality of life of patients using a scale called ""Kindscreen-52""., NSAA o North Star Ambulatory Assessment"
NCT06363526,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-04-01,2025-03-26
NCT06402942,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-03-12,2025-03-25
NCT06445985,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-01-30,2025-03-25
NCT06450639,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-03-07,2025-03-25
NCT06450639,2025-04-14 07:12:54.615614,2025-04-07 07:13:06.388759,Start Date,2025-04-04,2025-03-31
NCT06450639,2025-04-14 07:12:54.615614,2025-04-07 07:13:06.388759,Last Update Post Date,2025-04-08,2025-03-07
NCT06564974,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Brief Title,Registry Study to Observe Long-term Safety of Vamorolone (AGAMREE®) in Patients With Duchenne Muscular Dystrophy.,Registry Study to Observe Long-term Safety of Vamorolone (AGAMREE®) in Patients with Duchenne Muscular Dystrophy.
NCT06564974,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-04-02,2025-03-25
NCT06597656,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-03-03,2025-03-25
NCT06692426,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-03-24,2025-03-25
NCT06755138,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Study First Post Date,2025-01-01,2025-03-25
NCT06755138,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-01-01,2025-03-25
NCT06756633,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Study First Post Date,2025-01-03,2025-03-25
NCT06756633,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-01-03,2025-03-25
NCT06769633,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Study First Post Date,2025-01-10,2025-03-25
NCT06769633,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-01-24,2025-03-25
NCT06773988,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Study First Post Date,2025-01-14,2025-03-25
NCT06773988,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-01-14,2025-03-25
NCT06817382,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Study First Post Date,2025-02-10,2025-03-25
NCT06817382,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-02-10,2025-03-25
NCT06817382,2025-04-14 07:12:54.615614,2025-04-07 07:13:06.388759,Overall Status,Recruiting,Not Yet Recruiting
NCT06817382,2025-04-14 07:12:54.615614,2025-04-07 07:13:06.388759,Start Date,2025-05-31,2025-02-07
NCT06817382,2025-04-14 07:12:54.615614,2025-04-07 07:13:06.388759,Last Update Post Date,2025-04-11,2025-02-10
NCT06833489,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Study First Post Date,2025-02-18,2025-03-25
NCT06833489,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-02-18,2025-03-25
NCT06833931,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Study First Post Date,2025-02-19,2025-03-25
NCT06833931,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-03-18,2025-03-25
NCT06839469,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Study First Post Date,2025-02-21,2025-03-25
NCT06839469,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-02-21,2025-03-25
NCT06861270,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Study First Post Date,2025-03-06,2025-03-25
NCT06861270,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-03-06,2025-03-25
NCT06867107,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Study First Post Date,2025-03-10,2025-03-25
NCT06867107,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-03-10,2025-03-25
NCT06868784,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Study First Post Date,2025-03-11,2025-03-25
NCT06868784,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-03-17,2025-03-25
NCT06874166,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Study First Post Date,2025-03-13,2025-03-25
NCT06874166,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-03-13,2025-03-25
NCT06887491,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Study First Post Date,2025-03-20,2025-03-25
NCT06887491,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-03-20,2025-03-25
NCT06900049,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Brief Title,"Evaluation of the Safety, Tolerability, and Efficacy of LE051 in Patients With Duchenne Muscular Dystrophy","Evaluation of the Safety, Tolerability, and Efficacy of LE051 in Patients with Duchenne Muscular Dystrophy"
NCT06900049,2025-04-07 07:13:06.388759,2025-03-31 07:12:50.276131,Last Update Post Date,2025-04-02,2025-03-28
