NCTId,BriefTitle,Acronym,OverallStatus,BriefSummary,HasResults,Condition,InterventionType,InterventionName,PrimaryOutcomeMeasure,SecondaryOutcomeMeasure,LeadSponsorName,CollaboratorName,Sex,MinimumAge,MaximumAge,StdAge,Phase,EnrollmentCount,LeadSponsorClass,StudyType,DesignPrimaryPurpose,OrgStudyId,SecondaryId,StartDate,PrimaryCompletionDate,CompletionDate,StudyFirstPostDate,ResultsFirstPostDate,LastUpdatePostDate,Timestamp
NCT02484560,Efficacy of Stem Cell Therapy in Ambulatory and Non-ambulatory Children With Duchenne Muscular Dystrophy - Phase 1-2,,UNKNOWN,"Duchenne Muscular Dystrophy (DMD) is a X-linked genetic disorder primarily affecting males, resulting in an absence of dystrophin which ultimately leads to progressive muscle degeneration. Patients with DMD progressively lose functional abilities of movement, breath, and eventually the ability to circulate blood. Currently, there is no cure for DMD, although several strategies are being tested for treatment, none have yet proven to be sufficient. Children with DMD are generally divided into two groups based on severity or progression of the disease, non-ambulatory and ambulatory. Ambulatory patients are capable of walking independently while non-ambulatory patients cannot walk independently.",False,Duchenne Muscular Dystrophy,DRUG,Biological: Umbilical Cord Based Allogenic Mesenchymal Stem Cell,"Degree of improvement in patients with Duchenne Muscular Dystrophy after stem cell therapy treatment administered using Northstar Ambulatory Assessment, Magnetic Resonance Imaging & Spectroscopy, muscle strength assessment equipment, and a questionnaire.",,University of Gaziantep,"Istınye University, Cukurova University, Yıldırım Beyazıt University, Gaziantep Deva Hospital, Gaziantep Public Hospital",MALE,8 Years,14 Years,CHILD,PHASE1,10,OTHER,INTERVENTIONAL,TREATMENT,56733164/203,,2015-06,2015-12,2015-12,2015-06-29,,2015-07-01,2024-11-18T16:28:36.794107
NCT05305976,Telerehabilitation in Duchenne Muscular Dystrophy,Duchenne,COMPLETED,Duchenne Muscular Dystrophy (DMD) is a progressive inherited disease that affects the muscles and causes functional limitations to varying degrees. It is vital to start physiotherapy follow-ups immediately after diagnosis. Patients with DMD are among the most vulnerable groups who have problems in accessing physiotherapy services during the COVID-19 pandemic. The aim of the study was to investigate the effects of the telerehabilitation program developed to protect the physical health of patients with DMD and not to interrupt their follow-up.,False,Duchenne Muscular Dystrophy,OTHER,Telerehabilitation,"Functional level, Socio-demographics, Walking test (Before intervention), Walking test (After intervention), Time to stand up from the supine position (Before intervention), Time to stand up from the supine position (After intervention), Modified upper extremity performance test (Before intervention), Modified upper extremity performance test (After intervention), Endurance (Before intervention), Endurance (After intervention), Pulmonary Dysfunction Test (Before intervention), Pulmonary Dysfunction Test (After intervention)",Patient Satisfaction Survey,Karadeniz Technical University,,MALE,5 Years,,"CHILD, ADULT, OLDER_ADULT",NA,43,OTHER,INTERVENTIONAL,PREVENTION,KTU_FTR_AE_01,,2021-01-11,2021-11-15,2022-01-01,2022-03-31,,2022-03-31,2024-11-18T16:28:36.794107
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-18T16:29:34.291503
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-18T16:29:34.291503
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-18T16:29:34.291503
NCT02078076,IRM Cardiaque en Respiration Libre Pour Des Patients Atteints de Dystrophinopathie sévère,,COMPLETED,"Clinical, prospective and monocentric study aiming at assessing the feasibility of fibrosis detection and quantification (and of function assessment) during MRI without breath-holds in a population of adults and children with Duchenne myopathy.",False,Duchenne or Severe Becker Myopathy,DEVICE,Magnetic Resonance Cardiac Imaging (with Gadolinium),"Number of exams correctly acquired (feasabiliy of the exam), Number of exams allowing a qualitative assessment of images by the physician, Number of exams allowing a quantitative assessment of the diagnosis","Number of anatomic cardiac segments with significant fibrosis according to the assessment methods (conventional LGE, qualitative detection with GRICS, and quantiative measure with GRICS), Number of cardiac segments with fibrosis and/or regional dysfunction","Institut National de la Santé Et de la Recherche Médicale, France",,ALL,8 Years,,"CHILD, ADULT, OLDER_ADULT",NA,22,OTHER_GOV,INTERVENTIONAL,DIAGNOSTIC,C13-04,2013-A00179-36,2013-06,2015-11,2015-11,2014-03-05,,2016-02-24,2024-11-18T16:45:46.896569
NCT02484560,Efficacy of Stem Cell Therapy in Ambulatory and Non-ambulatory Children With Duchenne Muscular Dystrophy - Phase 1-2,,UNKNOWN,"Duchenne Muscular Dystrophy (DMD) is a X-linked genetic disorder primarily affecting males, resulting in an absence of dystrophin which ultimately leads to progressive muscle degeneration. Patients with DMD progressively lose functional abilities of movement, breath, and eventually the ability to circulate blood. Currently, there is no cure for DMD, although several strategies are being tested for treatment, none have yet proven to be sufficient. Children with DMD are generally divided into two groups based on severity or progression of the disease, non-ambulatory and ambulatory. Ambulatory patients are capable of walking independently while non-ambulatory patients cannot walk independently.",False,Duchenne Muscular Dystrophy,DRUG,Biological: Umbilical Cord Based Allogenic Mesenchymal Stem Cell,"Degree of improvement in patients with Duchenne Muscular Dystrophy after stem cell therapy treatment administered using Northstar Ambulatory Assessment, Magnetic Resonance Imaging & Spectroscopy, muscle strength assessment equipment, and a questionnaire.",,University of Gaziantep,"Istınye University, Cukurova University, Yıldırım Beyazıt University, Gaziantep Deva Hospital, Gaziantep Public Hospital",MALE,8 Years,14 Years,CHILD,PHASE1,10,OTHER,INTERVENTIONAL,TREATMENT,56733164/203,,2015-06,2015-12,2015-12,2015-06-29,,2015-07-01,2024-11-18T16:45:46.896569
NCT05305976,Telerehabilitation in Duchenne Muscular Dystrophy,Duchenne,COMPLETED,Duchenne Muscular Dystrophy (DMD) is a progressive inherited disease that affects the muscles and causes functional limitations to varying degrees. It is vital to start physiotherapy follow-ups immediately after diagnosis. Patients with DMD are among the most vulnerable groups who have problems in accessing physiotherapy services during the COVID-19 pandemic. The aim of the study was to investigate the effects of the telerehabilitation program developed to protect the physical health of patients with DMD and not to interrupt their follow-up.,False,Duchenne Muscular Dystrophy,OTHER,Telerehabilitation,"Functional level, Socio-demographics, Walking test (Before intervention), Walking test (After intervention), Time to stand up from the supine position (Before intervention), Time to stand up from the supine position (After intervention), Modified upper extremity performance test (Before intervention), Modified upper extremity performance test (After intervention), Endurance (Before intervention), Endurance (After intervention), Pulmonary Dysfunction Test (Before intervention), Pulmonary Dysfunction Test (After intervention)",Patient Satisfaction Survey,Karadeniz Technical University,,MALE,5 Years,,"CHILD, ADULT, OLDER_ADULT",NA,43,OTHER,INTERVENTIONAL,PREVENTION,KTU_FTR_AE_01,,2021-01-11,2021-11-15,2022-01-01,2022-03-31,,2022-03-31,2024-11-18T16:45:46.896569
NCT02078076,IRM Cardiaque en Respiration Libre Pour Des Patients Atteints de Dystrophinopathie sévère,,COMPLETED,"Clinical, prospective and monocentric study aiming at assessing the feasibility of fibrosis detection and quantification (and of function assessment) during MRI without breath-holds in a population of adults and children with Duchenne myopathy.",False,Duchenne or Severe Becker Myopathy,DEVICE,Magnetic Resonance Cardiac Imaging (with Gadolinium),"Number of exams correctly acquired (feasabiliy of the exam), Number of exams allowing a qualitative assessment of images by the physician, Number of exams allowing a quantitative assessment of the diagnosis","Number of anatomic cardiac segments with significant fibrosis according to the assessment methods (conventional LGE, qualitative detection with GRICS, and quantiative measure with GRICS), Number of cardiac segments with fibrosis and/or regional dysfunction","Institut National de la Santé Et de la Recherche Médicale, France",,ALL,8 Years,,"CHILD, ADULT, OLDER_ADULT",NA,22,OTHER_GOV,INTERVENTIONAL,DIAGNOSTIC,C13-04,2013-A00179-36,2013-06,2015-11,2015-11,2014-03-05,,2016-02-24,2024-11-18T16:51:45.280759
NCT02484560,Efficacy of Stem Cell Therapy in Ambulatory and Non-ambulatory Children With Duchenne Muscular Dystrophy - Phase 1-2,,UNKNOWN,"Duchenne Muscular Dystrophy (DMD) is a X-linked genetic disorder primarily affecting males, resulting in an absence of dystrophin which ultimately leads to progressive muscle degeneration. Patients with DMD progressively lose functional abilities of movement, breath, and eventually the ability to circulate blood. Currently, there is no cure for DMD, although several strategies are being tested for treatment, none have yet proven to be sufficient. Children with DMD are generally divided into two groups based on severity or progression of the disease, non-ambulatory and ambulatory. Ambulatory patients are capable of walking independently while non-ambulatory patients cannot walk independently.",False,Duchenne Muscular Dystrophy,DRUG,Biological: Umbilical Cord Based Allogenic Mesenchymal Stem Cell,"Degree of improvement in patients with Duchenne Muscular Dystrophy after stem cell therapy treatment administered using Northstar Ambulatory Assessment, Magnetic Resonance Imaging & Spectroscopy, muscle strength assessment equipment, and a questionnaire.",,University of Gaziantep,"Istınye University, Cukurova University, Yıldırım Beyazıt University, Gaziantep Deva Hospital, Gaziantep Public Hospital",MALE,8 Years,14 Years,CHILD,PHASE1,10,OTHER,INTERVENTIONAL,TREATMENT,56733164/203,,2015-06,2015-12,2015-12,2015-06-29,,2015-07-01,2024-11-18T16:51:45.280759
NCT05305976,Telerehabilitation in Duchenne Muscular Dystrophy,Duchenne,COMPLETED,Duchenne Muscular Dystrophy (DMD) is a progressive inherited disease that affects the muscles and causes functional limitations to varying degrees. It is vital to start physiotherapy follow-ups immediately after diagnosis. Patients with DMD are among the most vulnerable groups who have problems in accessing physiotherapy services during the COVID-19 pandemic. The aim of the study was to investigate the effects of the telerehabilitation program developed to protect the physical health of patients with DMD and not to interrupt their follow-up.,False,Duchenne Muscular Dystrophy,OTHER,Telerehabilitation,"Functional level, Socio-demographics, Walking test (Before intervention), Walking test (After intervention), Time to stand up from the supine position (Before intervention), Time to stand up from the supine position (After intervention), Modified upper extremity performance test (Before intervention), Modified upper extremity performance test (After intervention), Endurance (Before intervention), Endurance (After intervention), Pulmonary Dysfunction Test (Before intervention), Pulmonary Dysfunction Test (After intervention)",Patient Satisfaction Survey,Karadeniz Technical University,,MALE,5 Years,,"CHILD, ADULT, OLDER_ADULT",NA,43,OTHER,INTERVENTIONAL,PREVENTION,KTU_FTR_AE_01,,2021-01-11,2021-11-15,2022-01-01,2022-03-31,,2022-03-31,2024-11-18T16:51:45.280759
NCT00873782,Safety Study of Transvenous Limb Perfusion in Human Muscular Dystrophy,,COMPLETED,"Muscular dystrophies are inherited disorders in which the skeletal and heart muscles become progressively weaker, sometimes leading to permanent disability. Current treatments aim to control symptoms as much as possible, but there is no cure. Gene therapy, in which defective genes causing the disorder are corrected, is a potential treatment option and is in the process of being developed for muscular dystrophies. This study will determine the safety and feasibility of a particular delivery method for gene therapy that could be used in the future to treat people with muscular dystrophies. Only normal saline, and no active treatment, will be used in this study.",True,"Muscular Dystrophies, Duchenne Muscular Dystrophy, Becker Muscular Dystrophy, Limb-Girdle Muscular Dystrophy",OTHER,Retrograde high pressure transvenous perfusion with normal saline,"Muscle, Nerve, or Vascular Damage",,"University of North Carolina, Chapel Hill","National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS), University of North Carolina",ALL,21 Years,,"ADULT, OLDER_ADULT",PHASE1,16,OTHER,INTERVENTIONAL,TREATMENT,U54AR056953,U54AR056953,2009-03,2014-02,2014-02,2009-04-02,2015-03-09,2015-03-09,2024-11-19T11:15:39.760303
NCT06244082,Ph2 Open-label Study of AOC 1044 in Duchenne Muscular Dystrophy Participants with Mutations Amenable to Exon44 Skipping,EXPLORE44OLE,RECRUITING,AOC 1044-CS2 (EXPLORE44-OLE) is an Open-label Study to Evaluate the Pharmacodynamics and Long-Term Safety and Tolerability of AOC 1044 Administered Intravenously to DMD Participants with Mutations Amenable to Exon 44 Skipping.,False,"DMD, Duchenne Muscular Dystrophy, Duchenne, Exon 44",DRUG,AOC 1044,Change from baseline to biopsy visit in dystrophin protein level as measured in skeletal muscle by western blot,"Incidence of treatment emergent adverse events (TEAEs), Change from baseline to biopsy visit in dystrophin protein levels as measured in skeletal muscle by mass spectrometry, Change from baseline to biopsy visit in exon skipping as measured in skeletal muscle","Avidity Biosciences, Inc.",,MALE,7 Years,27 Years,"CHILD, ADULT",PHASE2,35,INDUSTRY,INTERVENTIONAL,TREATMENT,AOC 1044-CS2,,2024-01-22,2025-12-31,2026-12-31,2024-02-06,,2024-09-23,2024-11-19T11:15:39.760303
NCT02614820,"The Safety, Efficacy and Tolerability of Remote Ischemic Preconditioning as a Therapy to DMD",,UNKNOWN,"Background: Duchenne muscular dystrophy (DMD) is an X chromosome recessive hereditary disease and mainly characterized by progressive muscle weakness and atrophy. Glucocorticoid is the only proven effective medicine,while side effects limit its use. Recent studies have shown that the vascular density in the DMD patients' muscle is decreased,so muscle are in ischemic and anoxic. Remote ischemic preconditioning(RIPC) can improve the capable of resistanting ischemia and hypoxia and maybe a potential therapy for DMD patients.

Methods: 100 patients (aged 2 to 6 years)will be divided into two groups(treatment and control groups) randomly. Treatment group will receive an RIPC stimulus (inflation of a blood pressure cuff on the bilateral thighs to 150 mm Hg for four 5-minute intervals) while control group will receive a similar stimulus (inflation of a blood pressure cuff on the bilateral thighs to 40 mm Hg for four 5-minute intervals). Serum kinase level ,Blood levels of myoglobin, Evaluation of motor function(Four steps test;6-minute walking test) and MRI of lower limbs）at 0 days, 3 days, 3months ,6months.

Purpose：

1. To evaluate the safety and tolerability of remote ischemic preconditioning for DMD patients
2. To identify the effectiveness of remote ischemic preconditioning for DMD patients.",False,Duchenne Muscular Dystrophy (DMD),PROCEDURE,Remote Ischemic Preconditioning Training Apparatus,"Serum CK value, Serum CK value, Serum CK value, Serum CK value, Serum myoglobin values, Serum myoglobin values",Serum myoglobin values,General Hospital of Chinese Armed Police Forces,,MALE,2 Years,6 Years,CHILD,NA,100,OTHER,INTERVENTIONAL,TREATMENT,JZheng,,2015-11,2016-07,2016-12,2015-11-25,,2015-11-25,2024-11-19T11:15:39.760303
