NCTId,BriefTitle,Acronym,OverallStatus,BriefSummary,HasResults,Condition,InterventionType,InterventionName,PrimaryOutcomeMeasure,SecondaryOutcomeMeasure,LeadSponsorName,CollaboratorName,Sex,MinimumAge,MaximumAge,StdAge,Phase,EnrollmentCount,LeadSponsorClass,StudyType,DesignPrimaryPurpose,OrgStudyId,SecondaryId,StartDate,PrimaryCompletionDate,CompletionDate,StudyFirstPostDate,ResultsFirstPostDate,LastUpdatePostDate,Timestamp
NCT03882827,Natural History of Duchenne Muscular Dystrophy,,UNKNOWN,Baseline Study on Duchenne Muscular Dystrophy (DMD) in view to collect data on the natural disease course in a cohort in young male subjects aged from 5 to 9 Years over a period of 6 to 36 months using disease appropriate evaluations.,False,Duchenne Muscular Dystrophy,,,"NSAA scale, 10 Meter Walk/ Run test (10MW/RT), 6 Minutes Walk Test (6 MWT), Myoset : Myo-grip, -pinch, ACTIMYO, Muscle Imaging Nuclear Magnetic Resonance Imaging (NMRI), Pulmonary Function Test (PFT), ECG - Echocardiography, ACTIVLIM, EQ-5D",,Genethon,,MALE,5 Years,9 Years,CHILD,,100,OTHER,OBSERVATIONAL,,GNT-014-MDYF,,2019-12-19,2023-06-30,2023-06-30,2019-03-20,,2022-09-07,2024-12-10T07:22:19.264591
NCT03689660,"Feasibility of Virtual Reality in Children With Neuromuscular Disease, Effectiveness of Virtual Reality and Biofeedback",,UNKNOWN,"Our study is a randomized controlled study and the subjects included in the study will be divided into three groups as virtual reality training, biofeedback training, and conventional rehabilitation.",False,"Neuromuscular Disease, Duchenne Muscular Dystrophy, Spinal Muscular Atrophy, Virtual Reality, Biofeedback","OTHER, OTHER, OTHER","Virtual Reality Training, Biofeedback Training, Conventional rehabilitation","The Motor Function Measure-32, Pediatric Functional Independence Measure, Balance Master System, Vignos Scale, Feasibility of Virtual Reality, Pediatric Motivation Scale, Visual Analog Scale","Pediatric Functional Reaching Test, Fall Frequency, Muscle Strength Test with Hand Held Dinamometer, Timed Up Go Test, Stair Climb Test, T-shirt Wear Remove Test, Stand Up from Supine Position Test",Merve Kurt,,ALL,6 Years,18 Years,"CHILD, ADULT",NA,24,OTHER,INTERVENTIONAL,TREATMENT,Merve Kurt,,2019-02-01,2023-05-01,2023-10-01,2018-09-28,,2022-06-22,2024-12-10T07:22:19.264591
NCT05305976,Telerehabilitation in Duchenne Muscular Dystrophy,Duchenne,COMPLETED,Duchenne Muscular Dystrophy (DMD) is a progressive inherited disease that affects the muscles and causes functional limitations to varying degrees. It is vital to start physiotherapy follow-ups immediately after diagnosis. Patients with DMD are among the most vulnerable groups who have problems in accessing physiotherapy services during the COVID-19 pandemic. The aim of the study was to investigate the effects of the telerehabilitation program developed to protect the physical health of patients with DMD and not to interrupt their follow-up.,False,Duchenne Muscular Dystrophy,OTHER,Telerehabilitation,"Functional level, Socio-demographics, Walking test (Before intervention), Walking test (After intervention), Time to stand up from the supine position (Before intervention), Time to stand up from the supine position (After intervention), Modified upper extremity performance test (Before intervention), Modified upper extremity performance test (After intervention), Endurance (Before intervention), Endurance (After intervention), Pulmonary Dysfunction Test (Before intervention), Pulmonary Dysfunction Test (After intervention)",Patient Satisfaction Survey,Karadeniz Technical University,,MALE,5 Years,,"CHILD, ADULT, OLDER_ADULT",NA,43,OTHER,INTERVENTIONAL,PREVENTION,KTU_FTR_AE_01,,2021-01-11,2021-11-15,2022-01-01,2022-03-31,,2022-03-31,2024-12-10T07:22:19.264591
NCT04287582,The Evaluation of Muscle Activation in Climbing up Stairs Activity in Children With Duchenne Muscular Dystrophy,,UNKNOWN,"Children with Duchenne Muscular Dystrophy (DMD) have difficulties towards the end of the ambulatory period, especially in activities that require lower extremity proximal muscle strength such as walking, climbing stairs, standing up without sitting. Stair climbing / descending activity is a complex activity that requires joint stability, correct muscle synergy and timing. When the literature is examined; It has been observed that the performance of stair climb up and down activity in individuals with neuromuscular disease has been evaluated with various clinical applications. In recent studies, there are surface electromyography (EMG) studies evaluating various aspects of stair climbing and descending activity.

Surface EMG; is a technique for neuromuscular evaluations that is frequently used in both research and clinical applications, noninvasive, and can be used in areas such as neurophysiology, sports science and rehabilitation.

Our study was planned to examine the muscle activations in the lower limb muscles involved in climbing up stairs activity in children with DMD and to compare healthy children with children with DMD and children with different levels of DMD.

Hypothesis originating from the investigation:

H0: There is no difference in the muscle activations measured by surface electromyography (EMG) of the involved lower extremity muscles during climbing up stairs activity between level 1 and level 2-3 children with early DMD.

H1: There is a difference in the muscle activations measured by surface electromyography (EMG) of the involved lower extremity muscles during climbing up stairs activity between level 1 and level 2-3 children with early DMD.

H2: There is no difference in the muscle activations measured by surface electromyography (EMG) of the involved lower extremity muscles during climbing up stairs activity between children with DMD and healthy children.

H3: There is a difference in the muscle activations measured by surface electromyography (EMG) of the involved lower extremity muscles during climbing up stairs activity between children with DMD and healthy children.",False,Duchenne Muscular Dystrophy,OTHER,Electromyographic device,Surface Electromyographic Measurement,"Muscle Strength Measurement, Timed Performance Test, Muscle shortness assessment, Six minute walk test",Hacettepe University,,MALE,5 Years,12 Years,CHILD,,30,OTHER,OBSERVATIONAL,,GO 19/323,,2019-04-03,2020-03-07,2020-04-01,2020-02-27,,2020-02-27,2024-12-10T07:22:19.264591
NCT04184882,"A Study to Assess the Safety, Tolerability and Preliminary Efficacy of ASP0367 (MA-0211) in Pediatric Male Participants With Duchenne Muscular Dystrophy (DMD)",,TERMINATED,"The primary purpose of this study is to evaluate the safety and tolerability of ASP0367.

This study will also evaluate the pharmacokinetics, pharmacodynamics and efficacy on muscle function of ASP0367.",False,Duchenne Muscular Dystrophy (DMD),"DRUG, DRUG","Bocidelpar, Placebo","Number of participants with Treatment Emergent Adverse Events (TEAEs), Number of participants with vital sign abnormalities and/or AEs, Number of participants with body weight change abnormalities and/or AEs, Number of participants with electrocardiogram (ECG) abnormalities, Number of participants with echocardiography abnormalities and/or AEs, Number of participants with laboratory value abnormalities and/or AEs, Number of participants with suicidal ideation and/or behavior as assessed by Columbia-Suicide Severity Rating Scale (C-SSRS) Change from baseline in Columbia-Suicide Severity Rating Scale (C-SSRS), Change from baseline in digit span test","Pharmacokinetics (PK) of ASP0367 in plasma: AUC from the time of dosing to the start of next dosing interval (AUCtau), PK of ASP0367 in plasma: maximum concentration (Cmax), Pharmacodynamics (PD) of ASP0367: Percent change from baseline in peroxisome proliferator-activated receptor (PPAR) delta target genes expression levels in blood, PD of ASP0367: Percent change from baseline in serum myostatin/follistatin ratio, Change from baseline in Performance of Upper Limb Module (PUL) (v2.0) assessment score, Change from baseline on Pediatric Quality of Life (PedsQL) Multidimensional Fatigue Scale, Change from baseline in distance walked in 2 minutes assessed in meters, Percent change from baseline in the assisted 6 minute cycling test (a6MCT) maximal attained revolutions, Change from baseline in the a6MCT maximal attained revolutions, Change from baseline in fat fraction by magnetic resonance spectroscopy (MRS)",Astellas Pharma Inc,,MALE,8 Years,16 Years,CHILD,PHASE1,8,INDUSTRY,INTERVENTIONAL,TREATMENT,0367-CL-0102,,2021-02-24,2022-09-04,2022-09-04,2019-12-04,,2024-10-22,2024-12-10T07:22:19.264591
NCT02018731,L-citrulline and Metformin in Becker's Muscular Dystrophy,,COMPLETED,The purpose of the study is to compare the effects of L-citrulline and metformin and their combination therapy on muscle function and force in patients with Becker muscular dystrophy (BMD).,False,Becker's Muscular Dystrophy (BMD),"DRUG, DRUG","Metformin and Metformin & L-Citrulline, L-Citrulline and Metformin & L-Citrulline",Mean change of motor function measure (MFM) D1 subscore after 6 and 12 weeks,"MFM total score and six minute walking distance (6MWD), Change of muscle fat content (MFC) (assessed by MRI), Change of muscle metabolism (assessed by dual energy x-ray absorptiometry (DEXA) and indirect calorimetry), Change of laboratory parameters (oxidative and nitrosative stress)","University Hospital, Basel, Switzerland",,ALL,18 Years,,"ADULT, OLDER_ADULT",PHASE2,20,OTHER,INTERVENTIONAL,TREATMENT,BMD01,,2013-06,2014-09,2015-12,2013-12-23,,2016-05-16,2024-12-10T07:22:19.264591
NCT00451074,Six Month Study of Gentamicin in Duchenne Muscular Dystrophy With Stop Codons,,COMPLETED,The purpose of this study is to determine the safety of giving intravenous (IV) gentamicin to boys with Duchenne muscular dystrophy who have stop codon mutations.,False,Duchenne Muscular Dystrophy,DRUG,Gentamicin infusions twice a week for six months,"In this phase 1 clinical trial, safety will be measured via gentamicin trough levels, audiology, and renal function tests. These lab tests will remain in the normal range while infusing gentamicin twice a week for 6 month.","Determine if gentamicin given over six months improves muscle strength., Determine if gentamicin given over six months increases dystrophin binding at the muscle membrane.",Nationwide Children's Hospital,"National Institutes of Health (NIH), National Institute of Neurological Disorders and Stroke (NINDS)",MALE,5 Years,20 Years,"CHILD, ADULT",PHASE1,12,OTHER,INTERVENTIONAL,TREATMENT,NS043186,7R01NS043186,2007-03,2009-07,2009-07,2007-03-23,,2012-03-23,2024-12-10T07:22:19.264591
NCT03633565,Comparative Study of Strategies for Management of Duchenne Myopathy (DM),,UNKNOWN,"1. Comparing different lines of treatment of Duchenne Myopathy (DM) and assessment of new lines of treatment (mesenchymal stem cell, phosphodiesterase inhibitors) in reducing the impact of disability in the patients with Duchenne Myopathy and slowing the progression of cardiomyopathy
2. Upsetting and implementation of the best treatment plan for those children with Duchenne myopathy which is suitable for the available resources in Assiut University Children Hospital",False,Myopathy,"DRUG, DRUG, PROCEDURE","Sildenafil (Phosphodiesterase inhibitors), Prednisolone (Steroids), Mesenchymal stem cell transplantation",6 Minute Walk Distance (6MWD),,Assiut University,,MALE,5 Years,15 Years,CHILD,PHASE4,45,OTHER,INTERVENTIONAL,TREATMENT,smdmauch,,2018-09,2021-09,2021-11,2018-08-16,,2018-08-16,2024-12-10T07:22:19.264591
NCT05281120,Effects of Low-level Mechanical Vibration on Bone Density in Ambulant Children Affected by Duchenne Muscular Dystrophy,,COMPLETED,"Duchenne muscular dystrophy (DMD) is a X-linked recessive disorder due to a mutation of the dystrophin gene (Xp21). Dystrophin is a sarcolemmal protein of skeletal and cardiac muscle, and its absence causes progressive muscle degeneration and substitution with fat and connective tissue. The progressive muscle degeneration leads to loss of autonomous walking before the age of 15 years and death for cardiac and/or respiratory failure. There are no specific treatment for DMD, and the standard of care is now based on long-term corticosteroid (CS) use. The studies on bone mass in DMD are very few, but they agree in reporting the presence of a reduced bone mass and an increased rate of fractures probably due to long-term steroid therapy and disuse-osteopenia. The aim of this study, involving 20 ambulant DMD boys (age 7-10 years) has been the evaluation of the effects of low-level mechanical vibrations on bone in a group of ambulant DMD children for 1 year, with RDA-adjusted dietary calcium intake and 25OH vitamin D supplementation.",False,"Osteoporosis, Duchenne Muscular Dystrophy","DEVICE, DEVICE","Low-level mechanical vibrations WITH vertical sinusoidal acceleration, Low-level mechanical vibrations WITHOUT vertical sinusoidal acceleration",Change in bone mineral density at lumbar spine.,"Calcium, Phosphate, Magnesium, Creatinine, Bone Alkaline Phosphatase, Osteocalcin, Parathyroid Hormone, 25-OH vitamin D, 1,25(OH)2 vitamin D",Istituto Auxologico Italiano,,MALE,7 Years,10 Years,CHILD,NA,20,OTHER,INTERVENTIONAL,TREATMENT,02C701,,2006-11,2007-05,2007-11,2022-03-16,,2022-03-16,2024-12-10T07:22:19.264591
NCT03552874,Pulmonary and Upper Limb Functions in Duchenne Muscular Dystrophy,,COMPLETED,"Although it is known that the functions of pulmonary and upper limb is affected in late stage of Duchenne Muscular Dystrophy (DMD) negatively, the investigators do not have clear information about its early stage. The aim of this study was to investigate the differences in pulmonary and upper limb functions between children with DMD in early stage and healthy peers.",False,"Duchenne Muscular Dystrophy, Upper Limb Function, Respiratory Function Test",OTHER,The Performance of Upper Limb Questionnaire (PUL),"Pulmonary Function Test (PFT), The Performance Upper Limb (PUL)",,Hacettepe University,,MALE,5 Years,10 Years,CHILD,,47,OTHER,OBSERVATIONAL,,GO 16/773,,2017-01-01,2017-07-31,2018-03-31,2018-06-12,,2018-06-12,2024-12-10T07:22:19.264591
