NCTId,BriefTitle,Acronym,OverallStatus,BriefSummary,HasResults,Condition,InterventionType,InterventionName,PrimaryOutcomeMeasure,SecondaryOutcomeMeasure,LeadSponsorName,CollaboratorName,Sex,MinimumAge,MaximumAge,MinimumAgeMonths,MaximumAgeMonths,StdAge,Phase,EnrollmentCount,LeadSponsorClass,StudyType,DesignPrimaryPurpose,OrgStudyId,SecondaryId,StartDate,PrimaryCompletionDate,CompletionDate,StudyFirstPostDate,ResultsFirstPostDate,LastUpdatePostDate,Timestamp
NCT04287946,Endovascular GSN Ablation in Subjects With HFpEF,,Enrolling By Invitation,"The purpose of this study is to evaluate the safety and potential benefits of single-side block of a nerve that connects to the intestines, liver and spleen called the ""greater splanchnic nerve"" for the treatments of patients with symptomatic heart failure who have normal pumping of the heart. The study will be performed in patients whose heart failure is not responding well to standard treatments and remain symptomatic.",False,Heart Failure With Preserved Ejection Fraction,Device,Ablation,"Composite incidence of one or more of the following: major adverse cardiac, cerebrovascular embolic, or renal event (MACCRE), Mean change of PCWP with exercise after index procedure ablation as compared to baseline","Incidence of MACCRE, all serious adverse events, all-cause mortality, CV mortality and HF related mortality, Change in average PCWP as compared to baseline, Secondary Efficacy Endpoint, Secondary Efficacy Endpoint","Axon Therapies, Inc.",,All,40 Years,85 Years,480.0,1020.0,"Adult, Older Adult",Na,30,Industry,Interventional,Treatment,08938,,2020-02-01,2024-06-01,2024-11-01,2020-02-27,,2024-02-02,2025-07-22T14:56:11.992789
NCT03465072,"Abnormal Vascular, Metabolic, and Neural Function During Exercise in Heart Failure With Preserved Ejection Fraction",,Suspended,"Heart failure with preserved ejection fraction (HFpEF) accounts for approximately half of the heart failure population in the United States. The primary chronic symptom in patients with HFpEF is severe exercise intolerance quantified as reduced peak oxygen uptake during whole body exercise (peak V̇O2). To date, studies have focused almost exclusively on central cardiac limitations of peak V̇O2 in HFpEF. However, in stark contrast to heart failure with reduced ejection fraction (HFrEF), drug therapies targeting central limitations have invariably failed to improve peak V̇O2, quality of life, or survival in HFpEF. Emerging evidence from our lab suggests reduced skeletal muscle oxidative capacity may contribute to exercise intolerance in HFpEF patients. However, the mechanisms responsible for peripheral metabolic inefficiency remain unclear. Reduced blood flow (oxygen delivery), and slowed oxygen uptake kinetics (O2 utilization) may both contribute to reduced peripheral oxidative capacity. Importantly, reduced oxidative capacity may result in increased production of metabolites known to activate muscle afferent nerves and stimulate reflex increases in muscle sympathetic (vasoconstrictor) nervous system activity (MSNA). However, to date there have been no studies specifically investigating the contribution of peripheral metabolic and neural impairments to reduced exercise capacity in HFpEF. The overall aim of this proposal will be 1) to identify impairments in peripheral vascular, metabolic, and sympathetic neural function and 2) to assess the ability of small muscle mass (knee extensor, KE) training, specifically targeting these peripheral skeletal muscle deficiencies, to improve aerobic capacity and exercise tolerance in HFpEF.

GLOBAL HYPOTHESIS 1: HFpEF patients will demonstrate reduced skeletal muscle oxygen delivery, slowed oxygen uptake kinetics, and elevated resting and metaboreflex mediated MSNA.

Hypothesis 1.1: The vasodilatory response to knee extensor exercise will be impaired in HFpEF patients.

Specific Aim 1.1: To measure the immediate rapid onset vasodilatory response to muscle contraction, as well as the dynamic onset, and steady state vasodilatory responses to dynamic KE exercise.

Hypothesis 1.2: Skeletal muscle oxygen uptake kinetics will be slowed in HFpEF.

Specific Aim 1.2: To measure pulmonary oxygen uptake kinetics during isolated KE exercise in order to isolate peripheral impairments in metabolic function independent of any central impairment.

Hypothesis 1.3: HFpEF patients will demonstrate elevated MSNA at rest, and exaggerated metaboreflex sensitivity during exercise.

Specific Aim 1.3: To test this hypothesis the investigators will measure MSNA from the peroneal nerve at rest, and during post exercise ischemia to directly assess metaboreflex sensitivity in HFpEF.

GLOBAL HYPOTHESIS 2: Isolating peripheral adaptations to exercise training using single KE exercise training will improve peripheral vascular, metabolic, and neural function and result in greater functional capacity in HFpEF.

Hypothesis 2.1: Isolated KE exercise training will improve the vasodilatory response to exercise, speed oxygen uptake kinetics, and reduce MSNA at rest HFpEF.

Specific Aim 2.1: The assessments of vascular, metabolic, and neural function proposed in hypothesis 1 will be repeated after completing 8 weeks of single KE exercise training.

Hypothesis 2.2: Single KE exercise training will improve whole body exercise tolerance, peak V̇O2, and functional capacity in HFpEF.

Specific Aim 2.2: To test this hypothesis the investigators will measure maximal single KE work rate, V̇O2 kinetics and peak V̇O2 during cycle exercise, as well as distance covered in the six minute walk test.",False,Heart Failure With Normal Ejection Fraction,Other,Exercise training,"Muscle sympathetic nervous system activity, VO2 onset kinetics","Reactive hyperemia, Exercise hyperemia",University of Texas Southwestern Medical Center,,All,65 Years,85 Years,780.0,1020.0,Older Adult,Na,22,Other,Interventional,Basic Science,STU 082017-038,,2018-02-01,2026-03-01,2026-03-01,2018-03-14,,2025-04-01,2025-07-22T14:56:11.992789
NCT03066804,"A Randomized, Double-blind Controlled Study Comparing LCZ696 to Medical Therapy for Comorbidities in HFpEF Patients",PARALLAX,Completed,The purpose of this study is to demonstrate the superiority of LCZ696 over individualized medical therapy for comorbidities in reducing N-terminal pro-brain natriuretic peptide (NT-proBNP) and improving exercise capacity and HF symptoms in patients with heart failure with preserved ejection fraction (HFpEF).,True,Heart Failure With Preserved Ejection Fraction,"Drug, Drug, Drug, Drug, Drug, Drug","sacubitril/valsartan, Enalapril, Valsartan, Placebo to match sacubitril/valsartan, Placebo to match enalapril, Placebo to match valsartan","Change From Baseline in N-terminal Pro-brain Natriuretic Peptide (NT-proBNP) at Week 12, Change From Baseline in 6 Minute Walk Distance (6MWD) at Week 24","Mean Change From Baseline in Kansas City Cardiomyopathy Questionnaire (KCCQ) Clinical Summary Score (CSS) at Week 24, Percentage of Patients With ≥ 5-points Deterioration in KCCQ Clinical Symptom Score(CSS) at Week 24, Percentage of Patients With ≥ 5-points Improvement in KCCQ Clinical Symptom Score(CSS) at Week 24, Change From Baseline in NYHA Functional Class at Week 24, Change From Baseline in The Short Form 36 Health Survey (SF-36) Physical Component Summary (PCS) Score at Week 24",Novartis Pharmaceuticals,,All,45 Years,,540.0,0.0,"Adult, Older Adult",Phase3,2572,Industry,Interventional,Treatment,CLCZ696D2302,2016-003410-28,2017-08-22,2019-10-28,2019-10-28,2017-02-28,2021-02-08,2021-10-11,2025-07-22T14:56:11.992789
NCT02499601,CORolla® TAA for Heart Failure With Preserved Ejection Fraction (HFpEF) and Diastolic Dysfunction (DD),,Unknown,"The study objective is to demonstrate safety and feasibility of the CORolla® TAA during 12 months of follow up, and to evaluate the performance of the therapy in relieving symptoms and restore diastolic function in patients with heart failure and preserved ejection fraction.",False,"Diastolic Heart Failure, Diastolic Dysfunction",Device,CORollaTM TAA device,"Number of participants with All-cause mortality and Serious Adverse Events (SAEAs), Incidence of in-hospital procedure success.","Rate of HF death and re-hospitalization due to HF (including IV diuretic), Rate of HF death and re-hospitalization due to HF (including IV diuretic), Rate, type and severity of procedure related and device-related events, Rate of device related Major Adverse Cardiac and Neurological Events (MACNE), Change in Quality of Life (QoL) Questionnaire, Change in New York Heart Association functional Class (NYHA f. Cl)., Change in exercise capacity as measured by the Six-Minute Walk test., Device impact on diastolic dysfunction markers assessed by conventional echocardiography imaging and novel approach including Tissue Doppler Imaging (TDI)., Change of Wedge pressure, Change in Pulmonary Capillary Wedge Pressure during handgrip/ergometry, Change in exercise testing during echocardiography, Change in VO2 Max, Changes in cardiac medications, including daily diuretic dose.",CorAssist Cadiovascular Ltd.,,All,18 Years,,216.0,0.0,"Adult, Older Adult",Na,10,Industry,Interventional,Treatment,CLD_CRL_0403,,2015-09-01,2021-09-01,2024-09-01,2015-07-16,,2020-10-08,2025-07-22T14:56:11.992789
NCT02052804,"Understanding and Treating Heart Failure With Preserved Ejection Fraction: Novel Mechanisms, Diagnostics and Potential Therapeutics",Alberta HEART,Completed,"The objectives of this study are: 1) to design new diagnostic criteria used to accurately define heart failure with preserved ejection fraction (HFpEF); 2) to better define the risk factors associated with HFpEF; 3) to elucidate the clinical, cellular and molecular mechanisms involved with the development and progression of HFpEF; 4) to design and test new therapeutic strategies for patients with HFpEF.",False,Heart Failure,,,Percent of patients meeting new diagnostic criteria for HFpEF,,University of Alberta,,All,18 Years,100 Years,216.0,1200.0,"Adult, Older Adult",,700,Other,Observational,,AHFMRITG200801018,,2009-04-01,2015-12-01,2022-05-02,2014-02-03,,2022-05-03,2025-07-22T14:56:11.992789
NCT05490901,The Prognostic Role and Diagnostic Efficacy of Exercise Right Heart Catheterization With a Simultaneous Echocardiography in Patients With Dyspnea on Exertion,EX_CATH,Recruiting,To evaluate the role of exercise hemodynamic testing in the diagnostic workup for patients with dyspnea on exertion referred to the catheterization lab.,False,"Heart Failure With Preserved Ejection Fraction, Chronic Pulmonary Thromboembolism (Disorder)",Diagnostic Test,Exercise hemodynamic test,Proportion of exercise induced pulmonary artery wedge pressure >25 mmHg,"Proportion of exercise induced pulmonary hypertension > 30 mmHg, Correlation between peripheral venous pressure and right atrial pressure assumed by echocardiography, Ventilatory mechanics, Aerobic capacity, coronary flow reserve, index of microcirculatory resistance, Lactate level at peak exercise, LA stiffness, change of E/e' between at rest and peak exercise, Rates of rehospitalization due to heart failure, Rates of all-cause death, The change of right ventricular systolic pressure (RVSP) between at rest and peak exercise, change of Tricuspid annular plane systolic excursion (TAPSE) between at rest and peak exercise, change of S' between at rest and peak exercise",Samsung Medical Center,,All,19 Years,,228.0,0.0,"Adult, Older Adult",,400,Other,Observational,,EX_CATH,,2020-03-17,2028-12-31,2029-06-30,2022-08-08,,2022-08-08,2025-07-22T14:56:11.992789
NCT03629340,Metformin for Pulmonary Hypertension HFpEF,PH-HFpEF,Recruiting,The main objective of this study is to determine the clinical efficacy of metformin versus placebo and the therapeutic response with regards to functional capacity and hemodynamics in PH-HFpEF.,False,"Pulmonary Hypertension, Heart Failure","Drug, Drug","Metformin, Placebo oral capsule",The primary endpoint of the trial will be mean pulmonary artery pressure (mPAP) during submaximal exercise as compared between placebo and metformin at 12 weeks (i.e. the week 12 RHC of placebo vs week 12 RHC of metformin).,,"University of California, San Francisco",National Institute on Aging (NIA),All,18 Years,,216.0,0.0,"Adult, Older Adult",Phase2,10,Other,Interventional,Treatment,STUDY19020231,R01AG058659,2019-02-26,2026-02-01,2026-02-01,2018-08-14,,2025-03-10,2025-07-22T14:56:11.992789
NCT06278844,Exercise Capacity Improvement by Conduction System Pacing in heArt Failure patieNts Without Compelling CRT inDication,ESCPAND,Recruiting,"This randomized controlled trial aims to investigate the impact of conduction system pacing in comparison to right ventricular apical pacing on exercise capacity, as measured by peak oxygen uptake (VO2peak), in heart failure patients with indication for pacing but no compelling indication for cardiac resynchronization therapy (CRT). The mechanisms of exercise intolerance in heart failure patients influenced by conduction system pacing will be assessed.",False,"Heart Failure With Reduced Ejection Fraction, Heart Failure With Preserved Ejection Fraction, Heart Conduction Disorder","Device, Device","Conduction system pacing, Right ventricular apical pacing",Exercise capacity,"Exercise capacity, Echocardiographic parameters (Ejection Fraction), QRS width, Biomarker, N-terminal pro B-type natriuretic peptide levels, Health-related quality of life scores","University Hospital, Antwerp",,All,18 Years,,216.0,0.0,"Adult, Older Adult",Na,75,Other,Interventional,Treatment,3020,,2023-12-12,2026-09-01,2027-12-01,2024-02-26,,2024-02-26,2025-07-22T14:56:11.992789
NCT04068844,Mechanisms of Exercise Intolerance in Heart Failure With Preserved Ejection Fraction,,Active Not Recruiting,"The global objective of this study is to determine the mechanisms of exercise intolerance and dyspnea on exertion (DOE) in patients with HFpEF and based on this pathophysiology, test whether specific exercise training programs (whole body vs single leg) will result in improved exercise tolerance.",False,"Heart Failure, Diastolic",Behavioral,Exercise training,Aerobic fitness,"Cardiopulmonary hemodynamics, Sympathetic activity, Leg blood flow, Cardiac fibrosis",University of Texas Southwestern Medical Center,The University of Texas at Arlington,All,60 Years,90 Years,720.0,1080.0,"Adult, Older Adult",Na,93,Other,Interventional,Treatment,STU-2019-0617,,2019-08-01,2025-08-01,2025-12-31,2019-08-28,,2025-01-01,2025-07-22T14:56:11.992789
NCT04407091,"A Study to Assess the Mass Balance Recovery, Pharmacokinetics, Metabolite Profile and Metabolite Identification of [14C]AZD4831",,Completed,"The Sponsor is developing the test medicine, AZD4831, for the potential treatment of cardiovascular disease (CVD). CVD is a general term to describe a range of conditions that affect the heart and blood vessels, examples of CVD include angina (chest pain caused by restricted blood flow to heart muscle) and heart failure (where the heart is unable to pump blood around the body properly). AZD4831 is an inhibitor of a protein that has a role in the formation of fatty deposits in arteries (blood vessels that take blood to the body). It is hoped that by inhibiting this action, AZD4831 will help with the management of CVD.

The study involves radiolabelling (labelling the molecule with radioactive 14C) which is used to locate the molecule within the body. The study will try to assess how much radioactivity can be recovered from the urine and faeces (mass balance recovery) after a single oral dose of \[14C\]AZD4831. It will also look to identify the breakdown products (metabolites) of the parent drug. It will additionally determine the rate and route of elimination of \[14C\]AZD4831, along with the level of test medicine in the blood. The safety and tolerability of the test medicine will be assessed. The dose of radiation administered is very low, therefore the risk associated with this is very small.

The study will consist of a single study period involving up to six healthy male volunteers. Up to six male volunteers will receive a dose of 10 mg of the radiolabelled test medicine as an oral solution. Blood, urine and faecal samples will be collected from volunteers whilst they are resident in the clinical unit for up to 336 hours post-dose (Day 15). A follow-up visit will take place seven to ten days after discharge for safety assessments.",False,Cardiovascular Disease,Drug,14C]AZD4831 Oral Solution,"The cumulative amount of AZD4831 excreted (CumAe), The cumulative amount of AZD4831 excreted and expressed as a percentage of the administered dose (CumFe), Assessment of metabolites in plasma by accelerator mass spectrometry (AMS) analysis, Assessment of metabolites in urine by AMS analysis, Assessment of metabolites in faeces by AMS analysis","The amount of AZD4831 excreted (Ae), Amount of AZD4831 excreted and expressed as a percentage of the administered dose (Fe), The cumulative amount of AZD4831 excreted (CumAe), The cumulative amount of AZD4831 excreted and expressed as a percentage of the administered dose (CumFe), Time to maximum concentration (tmax) for AZD4831 and total radioactivity, Maximum plasma concentration (cmax) for AZD4831 and total radioactivity, Area under the concentration time curve from time zero to the time of the last measureable concentration (AUC0-t) for AZD4831 and total radioactivity, Area under the concentration time curve from time zero to the last quantifiable concentration (AUC0-inf) for AZD4831 and total radioactivity, Area under the concentration time curve from time of the last measureable concentration to infinity as a percentage of the area under the curve extrapolated to infinity (AUC%extrap), Apparent terminal elimination half-life (t1/2) for AZD4831 and total radioactivity, First order rate constant associated with the terminal (log-linear) portion of the curve for AZD4831 and total radioactivity, Total body clearance (CL/F) of AZD4831 and total radioactivity, Apparent volume of distribution (Vz/F) of AZD4831 and total radioactivity, Renal clearance (CLR) of AZD4831 in urine, Evaluation of whole blood to plasma concentration ratios for total radioactivity, Number of adverse events (AE) experienced by subjects",AstraZeneca,Quotient Sciences,Male,18 Years,65 Years,216.0,780.0,"Adult, Older Adult",Phase1,8,Industry,Interventional,Treatment,D6580C00007,,2020-06-30,2020-08-06,2020-08-06,2020-05-29,,2020-08-25,2025-07-22T14:56:11.992789
NCT03901729,A Trial to Study BAY1753011 in Patients With Congestive Heart Failure,AVANTI,Completed,"To assess the efficacy of 30 mg of BAY1753011, with or without furosemide, versus furosemide alone in patients with heart failure and objective evidence of congestion.",False,Heart Failure (HF),"Drug, Other, Drug, Other","BAY 1753011, Placebo BAY 1753011, Furosemide, Placebo Furosemide","PART A: Change in body weight, PART A: Change in serum creatinine, PART B: Change in body weight, PART B: Change in log transformed blood urea nitrogen (BUN)/creatinine ratio","Incidence of Treatment-emergent adverse event (including Serious adverse event), Change in augmentation index",Bayer,,All,18 Years,85 Years,216.0,1020.0,"Adult, Older Adult",Phase2,482,Industry,Interventional,Treatment,17909,2018-004059-18,2019-05-29,2021-04-16,2021-05-21,2019-04-03,,2022-04-18,2025-07-22T14:56:11.992789
NCT02068040,"Effects of Epicatechin on Functional Capacity, Skeletal Muscle Structure and Diastolic Function in Patients With Heart Failure With Preserved Ejection Fraction (HFPEF)",HFPEF,Completed,"The major goal of this proposal is to characterize the ability of epicatechin which a component of dark chocolate to improve the

1. structural and functional features of skeletal muscle (SkM)
2. exercise capacity (as assessed by VO2 max)
3. parameters of diastolic heart function (as assessed by echocardiography)

We propose that a 3 month treatment with epicatechin (through CocoaVia® capsules) will lead to a significant improvement in exercise capacity and diastolic function.",False,Heart Failure,Dietary Supplement,CocoaVia,"Change from baseline in exercise capacity, Change from baseline in skeletal muscle metabolism, Change from baseline in pre-specified biomarker levels in blood, skeletal muscle, and urine",,"University of California, San Diego",,All,40 Years,60 Years,480.0,720.0,Adult,Na,7,Other,Interventional,Treatment,UCSD IRB 130398,,2014-01-01,2015-04-01,2015-04-01,2014-02-20,,2015-06-03,2025-07-22T14:56:11.992789
NCT05582044,Exercise Lower-body Negative Pressure in Heart Failure With Preserved Ejection Fraction,,Recruiting,"The heart is a pump that must both fill and empty effectively to move blood; if it cannot move enough, heart failure may ensue. Approximately half of all adults living with heart failure have a form where the heart stiffens, which impairs its ability to fill. This form of heart failure particularly affects females and older adults. When people exercise, extra blood returns to the heart. The healthy heart can easily fill and move this extra blood to the muscles. However, when the heart's ability to fill is impaired, the extra blood can back up and pool in the lungs. Blood pooling in the lungs makes people feel breathless, although the investigators do not fully understand why, and this form of heart failure has a high risk of hospitalization and death, but few effective treatments are available. Exercise is one of the few treatments that works well if enough exercise is performed regularly. However, many people with this form of heart failure can only tolerate a small amount before stopping due to severe breathlessness, which can put them off from exercising regularly.

The study's goal is to help these people perform more exercise. The investigators will use a novel form of stationary cycling with a plastic chamber around the lower body that seals at the waist. The chamber can apply suction to the lower body during exercise which will reduce how much extra blood returns and prevent the heart and lungs from being overloaded. Participants will attend 5 visits, including 3 where they will perform a submaximal exercise test for as many minutes as possible with or without light suction. In each of these tests, the investigators will record how long they exercise and ask them to rate how breathless they feel. The investigators will also study their breathing pattern, using a mouthpiece and pressure sensor, and heart function, using ultrasound imaging.

This work will help adults living with heart failure exercise more and improve their health, and help researchers understand what causes breathlessness and develop new treatments.",False,Heart Failure With Preserved Ejection Fraction,"Other, Other, Other","Lower-body Negative Pressure (-25 mmHg), Lower-body Negative Pressure (-15 mmHg), Lower-body Neutral Pressure (0 mmHg)",Time to exercise limitation (Tlim),Dyspnea intensity and unpleasantness,University of British Columbia,,All,40 Years,,480.0,0.0,"Adult, Older Adult",Na,60,Other,Interventional,Treatment,H22-01882,,2023-01-25,2026-01-01,2026-01-01,2022-10-17,,2025-04-04,2025-07-22T14:56:11.992789
NCT05479669,Value of Intense Phenotyping in Heart Failure With Preserved Ejection Fraction,VIP-HF2,Recruiting,"Heart failure (HF) with a left ventricular ejection fraction (LVEF) \>0.40 is a large medical problem, for which no drug or device has a recommendation in current HF guidelines. The prevalence of mortality and HF hospitalizations in HF with LVEF \>0.40 is high, but the identification of predictors for increased risk of mortality and HF hospitalizations in this patient category remains difficult. The hypothesis of this study is that the risk of all-cause mortality and HF hospitalizations can be measured by clinical factors, imaging parameters and circulating biomarkers, and that these factors can be used in a risk profile",False,"Heart Failure, Diastolic","Diagnostic Test, Diagnostic Test, Diagnostic Test, Diagnostic Test, Diagnostic Test","Echocardiography, 24 hour Holter monitoring, Cardiac Magnetic Resonance Imaging, 99mTc-HDP scan, ECG",Combined endpoint of all-cause mortality and hospitalization for heart failure,,University Medical Center Groningen,,All,18 Years,,216.0,0.0,"Adult, Older Adult",,200,Other,Observational,,VIP-HF 2,,2022-03-29,2026-01-01,2031-01-01,2022-07-29,,2024-05-16,2025-07-22T14:56:11.992789
NCT06929169,Cardiovascular Effects of SGLT2 Inhibitors in Hemodialysis Patients: A Phase 2 Randomized Study,SGLT2-HD,Recruiting,"Patients with end-stage kidney disease (ESKD) on hemodialysis face an unacceptably high rate of cardiovascular complications, including heart failure, arrhythmias, and sudden cardiac death. Many of these outcomes are driven by diastolic dysfunction and cardiac fibrosis-conditions that are not adequately addressed by current therapies. SGLT2 inhibitors, originally developed for the treatment of type 2 diabetes, have demonstrated cardiovascular and renal protective effects across multiple patient populations, independent of glycemic control.

This Phase 2, randomized, controlled clinical trial will evaluate the safety and efficacy of SGLT2 inhibitors in patients undergoing maintenance hemodialysis. A total of 80 participants will be randomized to receive either an SGLT2 inhibitor or standard care for 12 months. The primary objective is to determine whether SGLT2 inhibitors improve cardiac function, reduce myocardial fibrosis, and decrease the incidence of intradialytic hypotension. Secondary endpoints include cardiovascular events, hospitalization, and all-cause mortality. The study will also assess changes in key biomarkers and perform advanced cardiac imaging to evaluate structural and functional outcomes.

This trial represents a novel and timely investigation into a class of medications with promising pleiotropic effects, potentially offering new therapeutic options for a high-risk, underserved population.",False,Chronic Kidney Disease Requiring Hemodialysis,Drug,iSGLT2,"Change in Left Ventricular Mass Index (LVMI), Change in Left Ventricular Ejection Fraction (LVEF), Change in Myocardial Fibrosis as Assessed by Cardiac MRI, Change in Pro-fibrotic Biomarkers (FGF23, Procollagen I and III), Incidence of Intradialytic Hypotension","Major Adverse Cardiovascular Events (MACE), Cardiovascular Mortality, All-Cause Mortality, Cause-Specific Hospitalizations",Maximo Agustin Schiavone,,All,18 Years,70 Years,216.0,840.0,"Adult, Older Adult",Phase2,80,Other,Interventional,Treatment,PRIISA BA: 8767,,2025-05-01,2026-07-01,2026-08-01,2025-04-16,,2025-04-16,2025-07-22T14:56:11.992789
NCT01030991,Classification of Heart Failure With Preserved Ejection Fraction,,Completed,The purpose of this study is to create a classification system for the heterogenous disorder of heart failure with preserved ejection fraction (HFpEF).,False,"Heart Failure With Preserved Ejection Fraction, Diastolic Heart Failure",,,"Heart failure hospitalization, Cardiovascular hospitalization, Mortality - all cause and cardiovascular",Exercise capacity (peak VO2),Northwestern University,,All,21 Years,,252.0,0.0,"Adult, Older Adult",,514,Other,Observational,,AHA 0835488N,,2008-07-01,2019-05-21,2019-05-21,2009-12-14,,2019-05-23,2025-07-22T14:56:11.992789
NCT04113291,Randomized Controlled Pilot Trial of DASH Feeding in Older Low Socioeconomic Adults Without Heart Failure,DASHF,Withdrawn,This is a study of the DASH diet (Dietary Approaches to Stop Hypertension) in the exploration of effective strategies for Heart failure (HF) with preserved ejection fraction (HFPEF) prevention.,False,"Heart Failure, Heart Failure With Preserved Ejection Fraction","Other, Other","DASH Diet, Usual diet","Number of enrolled participants per week, Proportion of participants that adhere to the to intervention, Number participants that were retained in the trial",Proportion of participants that adhere to the diet,Wake Forest University Health Sciences,,All,60 Years,74 Years,720.0,888.0,"Adult, Older Adult",Na,0,Other,Interventional,Prevention,DASHF-PRE,,2021-12-01,2022-06-01,2022-06-01,2019-10-02,,2020-10-05,2025-07-22T14:56:11.992789
