NCTId,type,name,description,arm_group_labels,other_names
NCT02435667,Other,Cardiopulmonary Max Exercise Test,Pedaling on a cycle ergometer to volitional fatigue.,"Resistance Exercise Training, Standard Care",
NCT02435667,Other,Quality of Life Questionnaire,A 10 minute questionnaire that measures quality of life.,"Resistance Exercise Training, Standard Care",
NCT02435667,Other,Submaximal Exercise Test,"Two short submaximal constant-load exercise sessions at 20 Watts. Each session will include 6 minutes of cycling (baseline). Following baseline, the sessions will be randomized to continued constant-load cycling for an additional 9 minutes (for echocardiographic measures) or randomized sub-systolic inflation of bilateral thigh pressure tourniquets to 40 and 80 mmHg for 3 minutes with 3 minutes of deflation between inflations to stimulate locomotor muscle neural feedback.","Resistance Exercise Training, Standard Care",
NCT02435667,Other,Blood Draw,A blood draw amounting to 1 teaspoon of blood drawn.,"Resistance Exercise Training, Standard Care",
NCT03098901,Diagnostic Test,Tc99m-labeled pyrophosphate scan,"Intravenous injection of Tc99m-labeled pyrophosphate with consecutive whole body scan using gamma ray scanner for assessment of radioactive uptake in the heart. The results of the scan will be evaluated by a specialist in the field. The uptake will be graded using Perugini scale (0- no uptake, 1- uptake in heart less intense than in bones, 2-uptake in heart as intense as in bones, 3-uptake in heart more intense than in bones).",no other arm,
NCT03801967,Drug,AZD9977,Randomized participants will receive oral dose of AZD9977.,AZD9977,
NCT03801967,Drug,Placebo,Randomized participants will receive oral dose of matching placebo.,Placebo,
NCT01185067,Drug,"grape seed extract (MegaNatural BP, Polyphenolics, Inc.)",Subjects will be randomized in double-blind fashion to either grape seed extract (GSE) or maltodextrin placebo capsules for for 6 weeks. Patient will take 300 mg GSE/placebo twice a day for 6 weeks. Patient will have a 2 week washout period and then cross over to the opposite group for an additional 6 weeks.,"grape seed extract capsule, maltodextrin capsule","grapes, wine, polyphenols, resveratrol, quercetin, anthocyanins, flavonoids, flavanols, flavonols, antioxidants"
NCT04766892,Drug,mavacamten,mavacamten capsules,mavacamten (MYK-461),
NCT06510231,Other,Inspiratory Muscle Training,Inspiratory muscle training (IMT) targets the inspiratory muscles and is used to improve inspiratory muscle strength.,"Inspiratory muscle training (IMT) group, SHAM group",
NCT06217120,Drug,Colchicine,Colchicine 0.5 mg daily,COLCHICINE,
NCT06217120,Drug,Placebo,Placebo once daily,PLACEBO,
NCT05136820,Device,Atrial Flow Regulator,"Subjects will be randomized 1:1:1 where subjects will either receive the 6mm AFR device, 8mm AFR device or Sham procedure.","Randomization to 6mm AFR device, Randomization to 8mm AFR device, Roll-in Arm",AFR
NCT05136820,Device,Sham Comparator,"Subjects will be randomized 1:1:1 where subjects will either receive the 6mm AFR device, 8mm AFR device or Sham procedure.",Randomization to sham procedure,
NCT05731466,Device,CardioMems HF System,"1. Implantation CardioMems device.
2. Evaluation of right ventricular-arterial coupling during exercise using a hybrid technique of real-time CMR-derived volume measures and CardioMems-derived pulmonary artery pressure measurements.",CardioMems (Clinical Indication),CMR
NCT01288365,Behavioral,Exercise training,Exercise training program for 3 months (two times a week).,Exercise training,
NCT03960073,Dietary Supplement,MitoQ,4 week 20mg oral daily dose of Mito Q,MitoQ,
NCT03960073,Dietary Supplement,Placebo,4 week oral daily dose of TTP placebo,Placebo,
NCT05332873,Device,Rivet Shunt,"The Rivet Shunt device will be implanted via a percutaneous, transcatheter approach",Rivet Shunt Therapy,
NCT04065620,Diagnostic Test,ambulatory blood pressure measurement,"24-hour ABPM will be made using validated devices, following ABPM device should be programmed to take measurements every 30 minutes . Patients will be instructed in their use. Periods of activity and rest will be pre-determined in short windows: for Asian and European Countries daytime period will be defined between 10:00 and 8:00 pm; and night-time period between 00:00 am and 6:00 am. For Latin American Countries daytime period will be defined between 08:00 and 06:00 pm; and night-time period between 00:00 am and 6:00 am. For Africa daytime period will be defined between 08:00 and 06:00 pm; and night-time period between 11 PM and 5 AM In addition, the duration of ABPM (hours), the percentage of valid readings, and the mean SBP/DBP values during periods of activity, rest and in 24 hours will be recorded. Records with a duration \<24 hours, those without one good reading per hour and those with \<70% of satisfactory readings will be excluded",,"home blood pressure measurement, Short Physical Performance Battery"
NCT00286182,Drug,Erythropoietin alpha,"Erythropoietin alpha is administered weekly by subcutaneous injection using a pre-specified dosing algorithm. The dosing algorithm is designed to make adjustments based on the rate of rise (ROR) of the hemoglobin over a one week period, as well as the absolute hemoglobin value. Subjects initially received active treatment with 7,500 units of erythropoietin given weekly by subcutaneously injection. Subjects are carefully monitored (e.g. every week) to avoid rapid increases in hemoglobin/hematocrit and/or increasing blood pressure control. Dose adjustments are made if the hemoglobin rises too rapidly (greater than 0.3 g/dL) in any given weekly interval.",Erythropoietin alpha,Erythropoietin alpha (Epogen)
NCT00286182,Drug,Placebo,Placebo,Placebo,
NCT06937320,Dietary Supplement,Exogenous Ketone Drink,"(R)-1,3-butanediol (BD, commercially available as ""KetoneIQ"") initially dosed 300 mg/kg BID (target dose 400 mg/kg grams BID if tolerated) for 8 weeks",Exogenous ketone drink,"(R)-1,3-butanediol, KetoneIQ, ketone"
NCT06937320,Dietary Supplement,Placebo,equi-volume placebo administered for 8 weeks,Placebo,
NCT03041376,Behavioral,Walking intervention,"The intervention will be delivered over a six-month period and will consist of: (1) an individualized pedometer-based walking program with weekly step goals, (2) regular visits to the clinic including face-to-face session with the physician, and (3) regular telephone calls with the research nurse in between the face-to-face contacts.",Walking intervention,
NCT03195660,Device,ASV Therapy,AirCurve 10 ASV device set up in AutoSet mode,ASV Therapy,AirCurve 10 ASV
NCT04632160,Device,IASD System II,The implant is placed across the interatrial septum using a percutaneous transcatheter approach.,Treatment,Interatrial Shunt Device
NCT05128331,Dietary Supplement,spermidineLife,dietary supplement that is made of natural wheat germ extract with high spermidine content,Spermidine supplementation,
NCT05128331,Dietary Supplement,Placebo,dietary supplement that is made of cellulose.,Placebo supplementation,
NCT05953831,Drug,CDR132L,"CDR132L is a synthetic antisense oligonucleotide (ASO) and a selective inhibitor of microRNA-132-3p (miR-132). miR-132 in cardiomyocytes is a central switch affecting the expression of genes that are crucially involved in maladaptive cardiac remodeling, transformation, and pathological cardiac growth (hypertrophy), contributing to adverse cardiac remodeling and heart failure (HF).1-5 Aberrant expression of miR-132 in cardiac cells is causally associated with cardiac remodeling and HF progression.",CDR132L 4.52 mg,
NCT05953831,Drug,Placebo,Placebo to CDR132L,Placebo,
NCT01047631,Behavioral,Functional circuit training and lifestyle counseling,"Tests are performed at the beginning, and repeated after 12 and 24 weeks:

* Measure general fitness levels such as walking, strength and balance.
* Walk on a treadmill to measure your maximum fitness while wearing a mask to analyze your oxygen use.
* Blood and urine tests and a heart ultrasound.
* Questionnaires \& activity measures.

Group assignment for 12 weeks:

-Exercise classes \& activity guidance: Twice-weekly class that focuses on exercises that are similar to daily activities, such as walking and carrying objects. Obtain customized information and education to help you exercise and follow a low salt diet.

Follow-up:

-Monthly phone calls during the 12 week follow up period.",Functional circuit training and lifestyle counseling,
NCT01047631,Behavioral,Health education and independent walking,"Tests are performed at the beginning, and repeated after 12 and 24 weeks.

* Measure general fitness levels such as walking, strength and balance.
* Walk on a treadmill to measure your maximum fitness while wearing a mask to analyze your oxygen use.
* Blood and urine tests and a heart ultrasound.
* Questionnaires \& activity measures.

Group assignment for 12 weeks:

-Health education and walking: Weekly health education classes covering general topics related to heart failure, like medications, diet and exercise. Receive a pedometer for an at-home walking program.

Follow-up:

-No follow up support",Health education and independent walking,
NCT04857931,Drug,Colchicine,"Patients meeting all inclusion criteria and no exclusion criteria will be randomly assigned to receive either colchicine (0.5mg once daily), colchicine (0.5mg twice daily) or matched placebo (1:1:1 allocation ratio), in addition to standard of care.","Colchicine 0.5 mg bid, Colchicine 0.5 mg die",
NCT04857931,Drug,Placebo,"Patients meeting all inclusion criteria and no exclusion criteria will be randomly assigned to receive either colchicine (0.5mg once daily), colchicine (0.5mg twice daily) or matched placebo (1:1:1 allocation ratio), in addition to standard of care.",Placebo,
NCT02949531,Drug,oxygen,,"21% oxygen, 28% oxygen, 40% oxygen",
NCT05726474,Behavioral,Combined exercise,"Patients will exercise for 40 minutes three times a week on an ergometric bicycle at 50-60% of VO2max, 60-70% of HRmax, 11-13 on the Borg scale, without ergometer at 50-60% of VO2max, 60-70% of HRmax, 11-13 on the Borg scale, without shortness of breathing difficulty. In addition, strength training will be performed (bench press, leg press, leg curl, leg machine, bench press, leg press, leg curl, leg curl, leg machine). leg curls, leg curls, rowing machine, triceps dips, pectoral pull-ups) twice a week. week. Strength training will be performed with 15 repetitions per exercise and per session, with a corresponding workload of 15 repetitions. session, with a workload corresponding to 60% to 65% of the 1-repetition maximum (1RM) measured at (1RM) measured at the beginning and at the end of the intervention.",Combined exercise,
NCT05726474,Behavioral,High interval training,"Patients will perform three training sessions per week. Each training session begins with a 10-minute warm-up at moderate intensity (corresponding to 50-60% of VO2max, 60-70% of HRmax, 11-13 on the Borg scale, no shortness of breath) before cycling, four 4-minute intervals at high intensity (corresponding to 85-90% of VO2max, 90-95% of HRmax, 15-17 on the Borg scale, shortness of breath). Each interval will be separated by 3 minutes of active pauses, with a HRmax of 50-70%. The training session will end with 3 minutes of cool down at moderate intensity (corresponding to 50-60%). moderate intensity (corresponding to 50-60% of VO2max, 60-70% of HRmax, 11-13 on the Borg scale, without difficulty). Borg scale, no shortness of breath). The total exercise time will be 40 minutes for the HIIT group.",High interval training,
NCT04157660,Procedure,Oxygen application,Oxygen application Supplemental oxygen via mask,Supplemental oxygen,
NCT04157660,Procedure,Sham room air,Room air will be applied via mask,Sham room air,
NCT04633460,Dietary Supplement,Ketone ester,"A nutraceutical ketone ester (KE), (R)-3-hydroxybutyl (R)-3-hydroxybutyrate which provides systemic ketosis",Ketone ester,
NCT04633460,Dietary Supplement,placebo drink,KE free placebo drink,Placebo,
NCT03843060,Drug,AZD9977,"Participants will receive single AZD9977 (Dose 1) capsule orally once daily in fed state, on Day 1 followed by at least 3 days washout period.",Single AZD9977,
NCT03843060,Drug,Itraconazole,"Participants will receive Itraconazole daily (Dose 2) capsule orally once daily from Day 4 to Day 8 plus will be administered AZD9977 (Dose 1, fed state) as a single dose on Day 7. Dose of itraconazole has to be taken at -1 hour (1 hour prior to AZD9977 dosing) when co-administered with AZD9977.",Itraconazole + AZD9977,Sporanox
NCT03435276,Drug,AZD9977,"Randomized subjects will receive AZD9977 oral suspension at a dose of 50 mg in Cohort 1, 150 mg in Cohort 2 and 300 mg in Cohort 3","Cohort 1, Cohort 2, Cohort 3",
NCT03435276,Other,Placebo,"Randomized subjects will receive orally AZD9977 matched placebo in Cohorts 1, 2 and 3","Cohort 1, Cohort 2, Cohort 3",
NCT06015776,Other,Gender,Differences between men and women will be observed,"Men, Women",
NCT05991284,Drug,Sacubitril-valsartan,sacubitril-valsartan (target dose 97/103 mg twice daily),Intervention arm,
NCT05991284,Drug,Standard of care,including SGLT-2 inhibitor and MRA,"Control arm, Intervention arm",
NCT03098979,Drug,Neladenoson bialanate (BAY1067197),5 mg orally once daily for 20 weeks,Neladenoson bialanate (BAY1067197) (5 mg),
NCT03098979,Drug,Neladenoson bialanate (BAY1067197),10 mg orally once daily for 20 weeks,Neladenoson bialanate (BAY1067197) (10 mg),
NCT03098979,Drug,Neladenoson bialanate (BAY1067197),20 mg orally once daily for 20 weeks,Neladenoson bialanate (BAY1067197) (20 mg),
NCT03098979,Drug,Neladenoson bialanate (BAY1067197),30 mg orally once daily for 20 weeks,Neladenoson bialanate (BAY1067197) (30 mg),
NCT03098979,Drug,Neladenoson bialanate (BAY1067197),40 mg orally once daily for 20 weeks,Neladenoson bialanate (BAY1067197) (40 mg),
NCT03098979,Drug,Placebo,Orally once daily for 20 weeks,Placebo,
NCT06122779,Drug,BMS-986435,Specified dose on specified days,BMS-986435,MYK-224
NCT06122779,Other,Placebo,Specified dose on specified days,Placebo,
NCT05676684,Drug,Dapagliflozin,A: Dapagliflozin 10 mg once daily,"[Dapagliflozin + Spironolactone] - [Dapagliflozin], [Dapagliflozin] - [Dapagliflozin + Spironolactone]",Forxiga(R)
NCT05676684,Drug,Spironolactone + Dapagliflozin,C: Dapagliflozin 10 mg once daily plus Spironolactone 25mg/every other day or 25mg/day (can be adjusted according to potassium and renal function),"[Dapagliflozin + Spironolactone] - [Dapagliflozin], [Dapagliflozin] - [Dapagliflozin + Spironolactone]",Forxiga(R) + Aldactone(R)
NCT06914102,Drug,Semaglutide,New use of semaglutide dispensing claim is used as the exposure.,Semaglutide,
NCT06914102,Drug,Placebo,New use of sitagliptin dispensing claim is used as the reference (active-comparator proxy for placebo).,Placebo,
NCT06080802,Drug,Metformin,"The intervention will consist in giving metformin starting with 500 mg once daily 1 gm daily (at breakfast) during the first week; if well tolerated, the dose was progressively increased to 500 mg twice daily (at breakfast and dinner) during week 2, to 1000 mg at breakfast and 500 mg at dinner during week 3, in order to reach the target dose of 1000 mg twice daily (at breakfast and dinner) during the rest of the follow-up. Patients will be followed up by telephone call 2 weeks intervals during the study period 5 SGL-2 will be prescribed to group 1 after diagnosis with HFpEF while group 2 will have SGL-2 and Metformin",intervention,
NCT01542502,Drug,Anakinra,Anakinra 100 mg daily subcutaneous injection,Anakinra,"Recombinant human Interleukin-1 receptor antagonist, Kineret"
NCT01542502,Drug,Placebo,Placebo daily subcutaneous injection,Placebo,Sodium Chloride (NaCl) 0.9%
NCT03057002,Diagnostic Test,Hyperpolarized 13C-Pyruvate,All subjects will be observed for myocardial hyperpolarized \[1-13C\]pyruvate flux during magnetic resonance spectroscopic imaging.,"Cardiomyopathy, Control",HP [1-13C]pyruvate
NCT04986202,Drug,AZD4831,AZD4831,"Part A 2.5 mg, Part A 5 mg, Part B Dose based on Part A",
NCT04986202,Other,Placebo,Placebo,"Part A Placebo, Part B Placebo",
NCT03260621,Diagnostic Test,stress CMR,additional stress CMR to the established clinical diagnostics,"echocardiographic increase in left atrial pressure, echocardiographic no increase in left atrial pressure",
NCT05312021,Drug,IMR-687,150 mg and 200 mg tablets,IMR-687,
NCT05312021,Other,IMR-687 Placebo,Matching placebo to IMR-687,Placebo,
NCT04434664,Drug,Amlodipine Besylate,"The interventions will be implemented in random order in a crossover (AB-BA) design, separated by an approximately one-week washout period",Amlodipine besylate,
NCT04434664,Drug,Metoprolol Succinate,"The interventions will be implemented in random order in a crossover (AB-BA) design, separated by an approximately one-week washout period",Metoprolol succinate,
NCT05826821,Drug,Pirfenidone,Intervention drug,Pirfenidone,
NCT05090202,Diagnostic Test,hbA1C,"hbA1C will be measured for all patients and results will be analysed into Non diabetic, Prediabetic and Diabetic","HFmrEF ""Heart failure with mildly reduced ejection fraction"", HFpEF "" Heart failure with preserved ejection fraction"", HFrEF "" Heart failure with reduced ejection fraction""",
NCT03015402,Drug,Sodium Nitrite,40 mg PO (by mouth) TID (three times each day) for 10 weeks,Sodium Nitrite,study
NCT03015402,Drug,Placebo Oral Capsule,"Placebo capsule that is of identical size, shape, and color to experimental drug capsule PO (by mouth) TID (three times each day) for 10 weeks",Placebo,control
NCT04757584,Drug,Beta blockers,"The intervention is a two-arm crossover withdrawal/ reversal design (On \[A\] vs Off \[B\]) with up to 4 periods, each period lasting up to 6 weeks. During the On period (A), subjects will be on their beta blocker. During the Off period (B), their beta blockers will be down-titrated and subsequently discontinued.

Subjects will be randomized into either ABAB or BABA sequences.","Beta Blocker ABAB Sequence, Beta Blocker BABA Sequence","atenolol, betaxolol, bisoprolol, metoprolol, nebivolol, nadolol, propranolol, acebutolol, penbutolol, pindolol, carvedilol, labetalol, sotalol, metoprolol succinate, metoprolol tartrate"
NCT02582021,Procedure,Coronary Angiography,"A coronary angiogram is a procedure that uses x-ray imaging to see the heart's blood vessels; it is a part of Heart (cardiac) catheterization procedure. During a coronary angiogram, a type of dye that's visible by an x-ray machine is injected into the blood vessels of the heart. The x-ray machine rapidly takes a series of images (angiograms).

The Coronary Reactivity test (CRT), heart pressure (Millar) evaluation, and Millar stress testing are performed during the coronary angiography.",Women,
NCT02582021,Procedure,Coronary Reactivity Testing,An angiography procedure specifically designed to examine the blood vessels in the heart and how they respond to different medications.,Women,CRT
NCT02582021,Procedure,Cardiac Magnetic Resonance Imaging,"Noninvasive high resolution imaging test; Optimized magnetic resonance imaging technique for use in the cardiovascular system - use of ECG gating and rapid imaging sequences.

Handgrip, mild leg exercise, and brief Valsalva Maneuver will be conducted to characterize cardiac response to stress. The CMRA is performed as part of the CMRI.","Women, Women or men",CMRI
NCT02582021,Procedure,Cardiac Magnetic Resonance Angiography,Test for validation purposes against gold-standard Angiography. CMRA is a part of the CMRI test. The residual contrast (gadolinium) circulating in the blood stream (following the CMRI prior images) is sufficient for CMRA evaluation.,"Women, Women or men",CMRA
NCT02582021,Procedure,Computed Coronary Tomographic Angiography,"Noninvasive, imaging method that uses a computed tomography (CT) scanner to look at the structures and blood vessels of the heart.",Women or men,CCTA
NCT02582021,Procedure,Rest-Stress Millar Testing,"Handgrip, mild leg exercise, and brief Valsalva Maneuver will be conducted to characterize cardiac response to stress. They are designed to test how your heart muscle is functioning.

Rest-stress Millar testing is performed during the coronary angiography and Cardiac Magnetic Resonance Imaging.","Women, Women or men",
NCT02582021,Procedure,Aortic vasorelaxation tests,"Non-invasive clinical test. Repeat blood pressure and heart rate per minute will be read for three times; Your pulse wave velocity, pulse wave analysis and central pressure measurements will be recorded.","Women, Women or men",Aortic pulse wave velocity-Pulse wave analysis
NCT02901184,Drug,Spironolactone,Treatment with Spironolactone tablets on top of standard care,Spironolactone treatment,
NCT02901184,Other,Standard care,Standard care does not involve Spironolactone,Standard care alone,
NCT05723679,Other,HeO2 gas mixture,Low-density helium-oxygen gas mixture (HeO2: 21% O2 and 79% He). Participant will be breathing this gas mixture.,"HeO2 gas mixture, then Room air gas mixture, Room air gas mixture, then HeO2 gas mixture",
NCT05723679,Other,Room air gas mixture,Normal room air,"HeO2 gas mixture, then Room air gas mixture, Room air gas mixture, then HeO2 gas mixture",
NCT06762964,Drug,Dapagliflozin tablet,Patient will take a 10mg tablet of Dapagliflozin once daily for 24 weeks,Dapagliflozin,
NCT06762964,Drug,Placebo Tablet,Patient will take 10mg placebo tablet once daily for 24 weeks,Placebo,
NCT04063579,Diagnostic Test,"Cardiac Magnetic Resonance, Echocardiogram, Blood investigation (NT-proBNP), cardiac catheterization","Imaging, blood tests, LV pressure measurement","Non-heart failure patients, Patients with heart failure with preserved ejection fraction",
NCT04063579,Diagnostic Test,"Cardiac Magnetic Resonance, Echocardiogram, Blood investigation (NT-proBNP)",Imaging and Blood tests,Normal Volunteers,
NCT03351179,Combination Product,"clinical characteristics, previous history, laboratory bio-markers, echocardiographic measurements, angiographic findings,clinical outcomes","The differences of data(clinical characteristics, history, laboratory biomarkers, echocardiographic measurements, angiographic characteristics and clinical outcomes) in two groups were conducted. The differences between two groups were compared (clinical characteristics, history, laboratory biomarkers, echocardiographic measurements, angiographic characteristics and clinical outcomes) in two groups were compared, and then found the risk factors. Following,the incidence of clinical outcomes and mortality were compared. Then, univariate logistic regression and multivariate logistic regression analysis adjusted for significant risk factors were performed to find out the independent predictive factors. Finally, the ROC was constructed, and the area was evaluated to assess the predicted probability of regression model.","AMI patients with HFpEF, AMI patients without HF",
NCT01505179,Drug,Ranolazine,"Patients with be given 500 mg by mouth twice a day for three days, and then the dose will be increased to 1000 mg by mouth twice daily thereafter. (patients who concurrently take moderate CYP3A inhibitors including diltiazem, verapamil, aprepitant, erythromycin, and fluconazole will continue to 500 mg by mouth twice a day for the entire dosing period)",Ranolazine,Ranexa
NCT01505179,Drug,Placebo,"Patients will be given 1 tab twice a day for 3 days, then increasing to 2 tabs twice a day thereafter (patients who concurrently take moderate CYP3A inhibitors, will be given 1 tab twice daily for the entire dosing period)",Placebo,
NCT03924479,Device,PowerBreathe (Breathing muscle training),The breathing muscle breathing training will consist of using the PowerBreathe training for 8 weeks. The PowerBreathe is an inspiratory pressure threshold trainer.The valve blocks the airflow until the threshold pressure is achieved by breathing in forcefully into the device.,"Breathing muscle training, Sham breathing muscle training",PowerBreathe Device
NCT05115890,Other,Exercise training,Patients with HFpEF will undergo 8 weeks of exercise training.,Exercise training,
NCT06837623,Drug,Colchicine Tablets,"Oral colchicine tablets. The dosing regimen is as follows:

* Patients weighing \>70 kg: 0.5 mg twice daily (BID)
* Patients weighing ≤70 kg: 0.5 mg once daily (OD) Administered for 3 months",Participant Group/Arm,Colchicine
NCT04782908,Device,Transcatheter tricuspid valve edge-to-edge repair,Transcatheter tricuspid valve edge-to-edge repair is an interventional approach to treat severe tricuspid regurgitation. Under general anesthesia a clip delivery system is forwarded through the vena femoralis and right atrium in the right ventricle. A clip is deployed to clamp the tricuspid valve and reduce tricuspid valve regurgitation.,Transcatheter tricuspid valve edge-to-edge repair,
NCT06833138,Procedure,pacemaker implantation,"The Medtronic 3830 lead should be used as the Conduction System Pacing lead. However, in case of unsuccessful implantation with the 3830 lead, a stylet-driven lead can be used as an alternative.",Intervention group with pacemaker implantation and atrioventricular node ablation,
NCT06833138,Procedure,atrioventricular node ablation,Right-sided atrioventricular junction ablation will be attempted first with a radiofrequency catheter. The choice of the catheter will be at the discretion of the physician. The catheter will be advanced to the His Bundle and then slightly withdrawn proximally and caudally in order to target the compact atrioventricular node. Repeated ablation procedures will be recommended during follow-up if regression of atrioventricular block occurs.,Intervention group with pacemaker implantation and atrioventricular node ablation,
NCT06833138,Device,Pacemaker programming,The pacemaker device will be programmed in VVIR mode at a lower rate of 75 beats per minute in bipolar mode for sensing and pacing,Intervention group with pacemaker implantation and atrioventricular node ablation,
NCT01951638,Drug,Vericiguat (BAY1021189) (1.25 mg),1.25 mg BAY1021189 tablets,"Vericiguat (BAY1021189) (1.25 mg), Vericiguat (BAY1021189) (2.5 mg), Vericiguat (BAY1021189) (5 mg), Vericiguat (BAY1021189)(10 mg)",
NCT01951638,Drug,Vericiguat (BAY1021189) (5 mg),5 mg BAY1021189 tablets,"Vericiguat (BAY1021189) (5 mg), Vericiguat (BAY1021189)(10 mg)",
NCT01951638,Drug,Placebo,,Placebo,
NCT03871803,Drug,Controlled withdrawal of beta-blockers,Controlled withdrawal of previos doses of beta-blockers after diagnosis of chronotropic incompetence,"Arm A, Arm B",
NCT03871803,Diagnostic Test,Cardiopulmonary Exercise Testing,Cardiopulmonary Exercise Testing to evaluate the chronotropic incompetence and the primary endpoint (functional capacity),"Arm A, Arm B",
NCT06081543,Dietary Supplement,Ketogenic diet,Participants will undertake a controlled feeding intervention. All food will be prepared and delivered to participants by research staff for the first 6 weeks. After that will be a free-living diet period where food will not be supplied but participants will receive educational materials and frequent coaching from a dietitian to help maintain the specified diet. Participants will be asked to exclusively follow the diet in efforts to control any dietary effects.,Ketogenic Diet,
NCT06081543,Dietary Supplement,Low-fat Mixed diet,Participants will undertake a controlled feeding intervention. All food will be prepared and delivered to participants by research staff for the first 6 weeks. After that will be a free-living diet period where food will not be supplied but participants will receive educational materials and frequent coaching from a dietitian to help maintain the specified diet. Participants will be asked to exclusively follow the diet in efforts to control any dietary effects.,Low-fat mixed Diet,
NCT03541603,Drug,Levosimendan,A sterile 2.5 mg/mL concentrate solution that is diluted in 5% Dextrose or 0.9 Normal Saline to achieve a 50 microgram/min solution for infusion,Levosimendan 2.5mg/mL Injectable Solution,Levosimendan 2.5 mg/mL Injectable Solution
NCT03541603,Drug,Matching Placebo,A sterile 2.5mg/mL concentrate solution that is diluted in 5% Dextrose or 0.9 Normal Saline to achieve a 50 microgram/min solution for infusion,Matching Placebo,Placebo
NCT06401343,Drug,Empagliflozin 10 MG,Participants randomized to the study group will received Empagliflozin 10mg q.d. for 12 months.,Study group,
NCT06980623,Drug,Tirzepatide,Exposure group,Tirzepatide,
NCT06980623,Drug,Semaglutide,Referent group,Semaglutide,
